NAME,PRODUCT_GROUP,CALL_ID,INTERACTION_MEDIUM,TOTAL_ATTENDEES,VENUE_CATEGORY,INTERACTION_DATE,IS_PARENT__C,RESIDENCY_PROGRAMME,MSL_ID,INTERACTION_VENUE,RESIDENCY_PROGRAMME_FLAG,INTERACTION_DETAIL_ID,INITIATIVES,PRODUCT_NAME,PRODUCT_ID,INITIATIVE_CATEGORY,INTERACTION_CATEGORY,INTERACTION_NAME,MSL_NAME,MONTH_YEAR,QUARTER_NAME,QUARTER_YEAR
WCT-411990,Product 1,v78TR98995YRuN6IYJ,Phone,159,Others,02-01-2024,TRUE,FALSE,1293Q881236XqWJDI0,PS,0,e99FT111236d3ueIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123313,16,Jan '24,Q1,Q1 '24
WCT-411998,Product 1,v78TR98995YRuVkIYJ,Phone,186,Others,05-01-2024,TRUE,FALSE,1293Q881236XqWJDI0,PS,0,e99FT111236d3ujIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123433,1,Jan '24,Q1,Q1 '24
WCT-410010,Product 1,v78TR98995YRudNIYR,Phone,320,Others,06-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,OS,0,e99FT111236d3vXIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123593,15,Jan '24,Q1,Q1 '24
WCT-410013,Product 1,v78TR98995YRufEIYR,Phone,270,Others,08-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,OS,0,e99FT111236d3vmIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123622,4,Jan '24,Q1,Q1 '24
WCT-410010,Product 1,v78TR98995YRuZUIYZ,Phone,391,Others,08-01-2024,TRUE,FALSE,1293Q881236XqXDIA0,PS,0,e99FT111236d3vrIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123502,15,Jan '24,Q1,Q1 '24
WCT-410020,Product 1,v78TR98995YRueBIYR,Phone,14,Others,05-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,PS,0,e99FT111236d3w6IFA,Initiative 1,Product 1,2205,BCP,Call,IJ123604,15,Jan '24,Q1,Q1 '24
WCT-410024,Product 1,v78TR98995YRufxIYB,Phone,277,Others,08-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,OS,0,e99FT111236d3wLIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123631,8,Jan '24,Q1,Q1 '24
WCT-410020,Product 1,v78TR98995YRugbIYB,Phone,170,Others,09-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d3wWIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123639,3,Jan '24,Q1,Q1 '24
WCT-410030,Product 1,v78TR98995YRuhGIYR,Phone,226,Others,09-01-2024,TRUE,FALSE,1293Q881236XqWTDI0,PS,0,e99FT111236d3wkIFA,Initiative 2,Product 1,2205,Diff,Call,IJ123652,7,Jan '24,Q1,Q1 '24
WCT-410043,Product 1,v78TR98995YRui9IYB,Live,359,Others,09-01-2024,TRUE,FALSE,1293Q881236XqikDIC,PS,0,e99FT111236d3xiIFA,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ123663,6,Jan '24,Q1,Q1 '24
WCT-410049,Product 1,v78TR98995YRuiOIYR,Virtual,163,Others,09-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d3y2IFA,Initiative 1,Product 1,2205,BCP,Online,IJ123667,13,Jan '24,Q1,Q1 '24
WCT-410011,Product 1,v78TR98995YRug7IYB,Phone,366,Others,08-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,PS,0,e99FT111236d3yqIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123633,18,Jan '24,Q1,Q1 '24
WCT-410012,Product 1,v78TR98995YRuiiIYB,Phone,102,Others,09-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,PS,0,e99FT111236d3yvIFA,Initiative 2,Product 1,2205,Diff,Call,IJ123671,3,Jan '24,Q1,Q1 '24
WCT-410013,Product 1,v78TR98995YRuiiIYB,Phone,167,Others,09-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,PS,0,e99FT111236d3ywIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123671,19,Jan '24,Q1,Q1 '24
WCT-410008,Product 1,v78TR98995YRul0IYB,Phone,117,Others,11-01-2024,TRUE,FALSE,1293Q881236XqWTDI0,PS,0,e99FT111236d3zyIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123709,7,Jan '24,Q1,Q1 '24
WCT-410080,Product 1,v78TR98995YRufsIYB,Phone,88,Others,10-01-2024,TRUE,FALSE,1293Q8800075uiPDIQ,PS,0,e99FT111236d408IFA,Initiative 1,Product 1,2205,BCP,Call,IJ123630,19,Jan '24,Q1,Q1 '24
WCT-410081,Product 1,v78TR98995YRug2IYB,Phone,388,Others,10-01-2024,TRUE,FALSE,1293Q8800075uiFDIQ,PS,0,e99FT111236d40DIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123632,4,Jan '24,Q1,Q1 '24
WCT-410098,Product 1,v78TR98995YRuohIYB,Live,136,PA,10-01-2024,TRUE,FALSE,1293Q881236XqWGDI0,CP-P,0,e99FT111236d41aIFA,Initiative 2,Product 1,2205,Diff,Face 2 Face,IJ123779,14,Jan '24,Q1,Q1 '24
WCT-410103,Product 1,v78TR98995YRupFIYR,Live,329,PA,11-01-2024,TRUE,FALSE,1293Q881236XqWGDI0,CP-P,0,e99FT111236d41hIFA,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ123809,23,Jan '24,Q1,Q1 '24
WCT-410108,Product 1,v78TR98995YRuq0IYB,Live,38,Others,11-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,OS,0,e99FT111236d41zIFA,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ123832,14,Jan '24,Q1,Q1 '24
WCT-410115,Product 1,v78TR98995YRurPIYR,Phone,364,Others,16-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,OS,0,e99FT111236d42OIZQ,Initiative 2,Product 1,2205,Diff,Call,IJ123859,3,Jan '24,Q1,Q1 '24
WCT-410111,Product 1,v78TR98995YRulZIYR,Phone,48,Others,11-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,PS,0,e99FT111236d42TIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123716,10,Jan '24,Q1,Q1 '24
WCT-410120,Product 1,v78TR98995YRurUIYR,Phone,62,Others,11-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d42dIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123860,15,Jan '24,Q1,Q1 '24
WCT-410121,Product 1,v78TR98995YRujHIYR,Phone,371,Others,10-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,OS,0,e99FT111236d42iIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123682,24,Jan '24,Q1,Q1 '24
WCT-410123,Product 1,v78TR98995YRus8IYB,Email,351,Others,13-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,OS,0,e99FT111236d42sIFA,Initiative 1,Product 1,2205,BCP,Mail,IJ123868,3,Jan '24,Q1,Q1 '24
WCT-410124,Product 1,v78TR98995YRukUIYR,Phone,295,Others,11-01-2024,TRUE,FALSE,1293Q8800075uiPDIQ,PS,0,e99FT111236d42xIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123697,19,Jan '24,Q1,Q1 '24
WCT-410130,Product 1,v78TR98995YRutbIYB,Phone,369,Others,12-01-2024,TRUE,FALSE,1293Q881236XqelDIC,PS,0,e99FT111236d43HIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123907,4,Jan '24,Q1,Q1 '24
WCT-410131,Product 1,v78TR98995YRusDIYR,Phone,123,Others,17-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,PS,0,e99FT111236d43bIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123869,14,Jan '24,Q1,Q1 '24
WCT-410138,Product 1,v78TR98995YRuekIYB,Phone,243,Others,12-01-2024,TRUE,FALSE,1293Q8800075uiFDIQ,PS,0,e99FT111236d43lIFA,Initiative 2,Product 1,2205,Diff,Call,IJ123612,9,Jan '24,Q1,Q1 '24
WCT-410139,Product 1,v78TR98995YRuleIYB,Phone,7,Others,13-01-2024,TRUE,FALSE,1293Q8800075uiFDIQ,PS,0,e99FT111236d43qIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123717,11,Jan '24,Q1,Q1 '24
WCT-410152,Product 1,v78TR98995YRuvpIYB,Phone,343,Others,18-01-2024,TRUE,FALSE,1293Q881236XqelDIC,PS,0,e99FT111236d44oIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123960,6,Jan '24,Q1,Q1 '24
WCT-410153,Product 1,v78TR98995YRuwJIYR,Live,239,Others,17-01-2024,TRUE,FALSE,1293Q881236XqWTDI0,OS,0,e99FT111236d44tIFA,Initiative 2,Product 1,2205,Diff,Face 2 Face,IJ123966,18,Jan '24,Q1,Q1 '24
WCT-410151,Product 1,v78TR98995YRuwOIYR,Live,280,Others,17-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,OS,0,e99FT111236d44yIFA,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ123968,12,Jan '24,Q1,Q1 '24
WCT-410159,Product 1,v78TR98995YRuwYIYR,Live,52,RA,18-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,CP-R,0,e99FT111236d454IFA,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ123970,15,Jan '24,Q1,Q1 '24
WCT-410115,Product 1,v78TR98995YRux2IYB,Phone,26,Others,19-01-2024,TRUE,FALSE,1293Q881236XqikDIC,PS,0,e99FT111236d45XIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123981,19,Jan '24,Q1,Q1 '24
WCT-410111,Product 1,v78TR98995YRuxWIYR,Live,34,Others,19-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,PS,0,e99FT111236d45cIFA,Initiative 2,Product 1,2205,Diff,Face 2 Face,IJ123987,12,Jan '24,Q1,Q1 '24
WCT-410100,Product 1,v78TR98995YRuuwIYB,Phone,142,Others,19-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,PS,0,e99FT111236d45mIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123949,20,Jan '24,Q1,Q1 '24
WCT-410180,Product 1,v78TR98995YRuzcIYB,Phone,330,Others,23-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,PS,0,e99FT111236d46aIFA,Initiative 1,Product 1,2205,BCP,Call,IJ165014,19,Jan '24,Q1,Q1 '24
WCT-410184,Product 1,v78TR98995YRuocIYB,Phone,268,Others,16-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d46uIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123778,16,Jan '24,Q1,Q1 '24
WCT-410180,Product 1,v78TR98995YRupvIYB,Phone,42,Others,24-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d479IFA,Initiative 1,Product 1,2205,BCP,Call,IJ123831,14,Jan '24,Q1,Q1 '24
WCT-410188,Product 1,v78TR98995YRuyeIYB,Phone,314,Others,23-01-2024,TRUE,FALSE,1293Q881236XqWJDI0,PS,0,e99FT111236d47EIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ165002,2,Jan '24,Q1,Q1 '24
WCT-410189,Product 1,v78TR98995Ycv06IYB,Live,247,RA,18-01-2024,TRUE,FALSE,1293Q881236XqWTDI0,CP-R,0,e99FT111236d47JIZQ,Initiative 2,Product 1,2205,Diff,Face 2 Face,IJ165020,11,Jan '24,Q1,Q1 '24
WCT-410191,Product 1,v78TR98995YRuyyIYB,Email,15,Others,23-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,PS,0,e99FT111236d47TIZQ,Initiative 1,Product 1,2205,BCP,Mail,IJ165006,21,Jan '24,Q1,Q1 '24
WCT-410192,Product 1,v78TR98995YRuvfIYB,Phone,391,Others,18-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,OS,0,e99FT111236d47YIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123958,24,Jan '24,Q1,Q1 '24
WCT-410193,Product 1,v78TR98995Ycv0GIYR,Live,332,Others,17-01-2024,TRUE,FALSE,1293Q881236XqWTDI0,PS,0,e99FT111236d47dIFA,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ165026,20,Jan '24,Q1,Q1 '24
WCT-410199,Product 1,v78TR98995Ycv0YIYB,Phone,211,Others,11-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d47pIFA,Initiative 1,Product 1,2205,BCP,Call,IJ165030,24,Jan '24,Q1,Q1 '24
WCT-410204,Product 1,v78TR98995Ycv14IYB,Email,349,Others,24-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,PS,0,e99FT111236d487IFA,Initiative 1,Product 1,2205,BCP,Mail,IJ165036,5,Jan '24,Q1,Q1 '24
WCT-410205,Product 1,v78TR98995Ycv1EIYR,Phone,109,Others,24-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d48CIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ165038,5,Jan '24,Q1,Q1 '24
WCT-410211,Product 1,v78TR98995YRux7IYB,Email,393,Others,27-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,PS,0,e99FT111236d49KIZQ,Initiative 1,Product 1,2205,BCP,Mail,IJ123982,3,Jan '24,Q1,Q1 '24
WCT-410220,Product 1,v78TR98995Ycv4IIYR,Phone,286,Others,26-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d49eIFA,Initiative 1,Product 1,2205,BCP,Call,IJ165078,7,Jan '24,Q1,Q1 '24
WCT-410221,Product 1,v78TR98995YRurKIYR,Virtual,14,Others,16-01-2024,TRUE,FALSE,1293Q881236VMrzDIG,PS,0,e99FT111236d4A8IAI,Initiative 1,Product 1,2205,BCP,Online,IJ123858,19,Jan '24,Q1,Q1 '24
WCT-410220,Product 1,v78TR98995Ycv2vIYB,Phone,182,Others,29-01-2024,TRUE,FALSE,1293Q881236XqXDIA0,PS,0,e99FT111236d4ADIAY,Initiative 1,Product 1,2205,BCP,Call,IJ165060,11,Jan '24,Q1,Q1 '24
WCT-410231,Product 1,v78TR98995Ycv2qIYB,Phone,84,Others,26-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,OS,0,e99FT111236d4ArIAI,Initiative 2,Product 1,2205,Diff,Call,IJ165059,1,Jan '24,Q1,Q1 '24
WCT-410244,Product 1,v78TR98995Ycv80IYB,Email,391,Others,30-01-2024,TRUE,FALSE,1293Q881236XqWTDI0,PS,0,e99FT111236d4BaIAI,Initiative 1,Product 1,2205,BCP,Mail,IJ165133,14,Jan '24,Q1,Q1 '24
WCT-410241,Product 1,v78TR98995YRuvLIYR,Phone,12,Others,18-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,OS,0,e99FT111236d4BkIAI,Initiative 2,Product 1,2205,Diff,Call,IJ123954,2,Jan '24,Q1,Q1 '24
WCT-410240,Product 1,v78TR98995Ycv8FIYR,Phone,181,Others,31-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,OS,0,e99FT111236d4BpIAI,Initiative 1,Product 1,2205,BCP,Call,IJ165136,21,Jan '24,Q1,Q1 '24
WCT-410249,Product 1,v78TR98995Ycv8eIYB,Email,253,Others,23-01-2024,TRUE,FALSE,1293Q881236XqWTDI0,PS,0,e99FT111236d4BzIAI,Initiative 1,Product 1,2205,BCP,Mail,IJ165141,6,Jan '24,Q1,Q1 '24
WCT-410250,Product 1,v78TR98995Ycv85IYB,Phone,134,Others,30-01-2024,TRUE,FALSE,1293Q881236UtQ9DIK,PS,0,e99FT111236d4C4IAI,Initiative 1,Product 1,2205,BCP,Call,IJ165134,21,Jan '24,Q1,Q1 '24
WCT-410252,Product 1,v78TR98995Ycv93IYB,Phone,125,Others,30-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,PS,0,e99FT111236d4CEIAY,Initiative 2,Product 1,2205,Diff,Call,IJ165147,12,Jan '24,Q1,Q1 '24
WCT-410254,Product 1,v78TR98995Ycv9NIYR,Email,140,Others,31-01-2024,TRUE,FALSE,1293Q881236XqikDIC,PS,0,e99FT111236d4COIAY,Initiative 1,Product 1,2205,BCP,Mail,IJ165151,12,Jan '24,Q1,Q1 '24
WCT-410218,Product 1,v78TR98995YcvYQIYZ,Live,235,Others,31-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,PS,0,e99FT111236d4D2IAI,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ165169,19,Jan '24,Q1,Q1 '24
WCT-410219,Product 1,v78TR98995YcvYQIYZ,Live,49,Others,31-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,PS,0,e99FT111236d4D3IAI,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ165169,20,Jan '24,Q1,Q1 '24
WCT-410203,Product 1,v78TR98995YRuh1IYB,Phone,175,Others,09-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4DCIAY,Initiative 1,Product 1,2205,BCP,Call,IJ123649,16,Jan '24,Q1,Q1 '24
WCT-410204,Product 1,v78TR98995YRuh1IYB,Phone,383,Others,09-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4DDIAY,Initiative 1,Product 1,2205,BCP,Call,IJ123649,19,Jan '24,Q1,Q1 '24
WCT-410201,Product 1,v78TR98995YRuqZIYR,Phone,145,Others,16-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4DMIAY,Initiative 2,Product 1,2205,Diff,Call,IJ123840,15,Jan '24,Q1,Q1 '24
WCT-410200,Product 1,v78TR98995YRuqZIYR,Phone,8,Others,16-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4DNIAY,Initiative 2,Product 1,2205,Diff,Call,IJ123840,4,Jan '24,Q1,Q1 '24
WCT-410208,Product 1,v78TR98995YRuroIYB,Live,39,Others,29-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4DRIAY,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ123864,15,Jan '24,Q1,Q1 '24
WCT-410209,Product 1,v78TR98995YRuroIYB,Live,154,Others,29-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4DSIAY,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ123864,3,Jan '24,Q1,Q1 '24
WCT-410280,Product 1,v78TR98995YRuroIYB,Live,45,Others,29-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4DTIAY,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ123864,17,Jan '24,Q1,Q1 '24
WCT-410410,Product 1,v78TR98995Ycv4DIYR,Phone,311,Others,29-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4E0IAI,Initiative 1,Product 1,2205,BCP,Call,IJ165077,17,Jan '24,Q1,Q1 '24
WCT-410418,Product 1,v78TR98995Ycv4DIYR,Phone,297,Others,29-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4E1IAI,Initiative 1,Product 1,2205,BCP,Call,IJ165077,25,Jan '24,Q1,Q1 '24
WCT-410419,Product 1,v78TR98995Ycv4DIYR,Phone,80,Others,29-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4E2IAI,Initiative 1,Product 1,2205,BCP,Call,IJ165077,7,Jan '24,Q1,Q1 '24
WCT-410302,Product 1,v78TR98995Ycv7RIYR,Live,281,Others,30-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4DoIAI,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ165125,3,Jan '24,Q1,Q1 '24
WCT-410303,Product 1,v78TR98995Ycv7RIYR,Live,247,Others,30-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4DpIAI,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ165125,17,Jan '24,Q1,Q1 '24
WCT-410301,Product 1,v78TR98995YcvYuIYJ,Live,291,Others,01-02-2024,TRUE,FALSE,1293Q881236XqcJDIS,OS,0,e99FT111236d4EKIAY,Initiative 2,Product 1,2205,Diff,Face 2 Face,IJ165178,3,Feb '24,Q1,Q1 '24
WCT-410313,Product 1,v78TR98995YcvB4IYJ,Live,144,Others,31-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,PS,0,e99FT111236d4EWIAY,Initiative 3,Product 1,2205,PF,Face 2 Face,IJ165181,9,Jan '24,Q1,Q1 '24
WCT-410315,Product 1,v78TR98995YcvB9IYJ,Live,68,Others,31-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,PS,0,e99FT111236d4EeIAI,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ165182,3,Jan '24,Q1,Q1 '24
WCT-410310,Product 1,v78TR98995YcvBnIYJ,Live,280,Others,31-01-2024,TRUE,FALSE,1293Q881236XqcJDIS,PS,0,e99FT111236d4EjIAI,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ165190,19,Jan '24,Q1,Q1 '24
WCT-410321,Product 1,v78TR98995YcvC7IYJ,Live,318,Others,29-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d4EqIAI,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ165194,13,Jan '24,Q1,Q1 '24
WCT-410324,Product 1,v78TR98995YcvCRIYZ,Phone,163,Others,30-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d4F3IAI,Initiative 1,Product 1,2205,BCP,Call,IJ165198,3,Jan '24,Q1,Q1 '24
WCT-410325,Product 1,v78TR98995Ycv3yIYB,Phone,75,Others,31-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d4F8IAI,Initiative 1,Product 1,2205,BCP,Call,IJ165073,5,Jan '24,Q1,Q1 '24
WCT-410330,Product 1,v78TR98995YcvCvIYJ,Phone,209,Others,29-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d4FOIAY,Initiative 1,Product 1,2205,BCP,Call,IJ165205,17,Jan '24,Q1,Q1 '24
WCT-410333,Product 1,v78TR98995YcvDKIYZ,Live,55,RA,17-01-2024,TRUE,FALSE,1293Q881236XqWTDI0,CP-R,0,e99FT111236d4FdIAI,Initiative 3,Product 1,2205,PF,Face 2 Face,IJ165210,14,Jan '24,Q1,Q1 '24
WCT-410334,Product 1,v78TR98995YcvDWIYZ,Live,128,RA,31-01-2024,TRUE,FALSE,1293Q881236XqWTDI0,CP-R,0,e99FT111236d4FhIAI,Initiative 2,Product 1,2205,Diff,Face 2 Face,IJ165218,19,Jan '24,Q1,Q1 '24
WCT-410330,Product 1,v78TR98995YcvCWIYZ,Phone,91,Others,01-02-2024,TRUE,FALSE,1293Q881236UtQ9DIK,PS,0,e99FT111236d4FsIAI,Initiative 1,Product 1,2205,BCP,Call,IJ165199,22,Feb '24,Q1,Q1 '24
WCT-410345,Product 1,v78TR98995YcvFXIYZ,Live,307,Others,01-02-2024,TRUE,FALSE,1293Q881236XqWjDIK,PS,0,e99FT111236d4GQIAY,Initiative 2,Product 1,2205,Diff,Face 2 Face,IJ165256,25,Feb '24,Q1,Q1 '24
WCT-410354,Product 1,v78TR98995YcvGiIYJ,Phone,145,Others,17-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4H1IAI,Initiative 1,Product 1,2205,BCP,Call,IJ165295,4,Jan '24,Q1,Q1 '24
WCT-410359,Product 1,v78TR98995YcvGwIYJ,Phone,126,Others,23-01-2024,TRUE,FALSE,1293Q881236XqWYDI0,PS,0,e99FT111236d4HEIAY,Initiative 1,Product 1,2205,BCP,Call,IJ165298,10,Jan '24,Q1,Q1 '24
WCT-410300,Product 1,v78TR98995YcvHlIYJ,Phone,293,Others,05-02-2024,TRUE,FALSE,1293Q881236VMrzDIG,PS,0,e99FT111236d4HnIAI,Initiative 1,Product 1,2205,BCP,Call,IJ165325,22,Feb '24,Q1,Q1 '24
WCT-410381,Product 1,v78TR98995YcvIZIYZ,Live,8,Others,05-02-2024,TRUE,FALSE,1293Q881236XqWGDI0,PS,0,e99FT111236d4IEIAY,Initiative 1,Product 1,2205,BCP,Face 2 Face,IJ165341,20,Feb '24,Q1,Q1 '24
