SESSION_ID,SESSION_DATE,SESSION_STARTED_TIME,SESSION_MODE,SESSION_CLOSED_REMARK,PRESENTATION_ID,PRESENTATION_NAME,PRODUCT,THERAPY_NAME,RA_OR_PA,PRESENTATION_MIX_TYPE,SESSION_TYPE,USER_NAME,TIME_IN_HRS,CALL_ID,ACC_ID,H_ACC_NAME__C,PRESENTATIONS_CUSTOMER_TYPE,ACC_RECORD_TYPE,ACC_CORE_TYPE,TERRITORY,MLS_ID,IS_ACTIVE,THERAPY,RESOURCE_FILETYPE,POWERPOINT_TYPE,PRODUCTS,CALL_STATUS,MSL
4000539,20-03-2023,04:07:00.000,Practice,true,40163,2,Product 4,Therapy 2,Proactive,Proactive,normal,20,0.000196759,,,,,,,9784-CTT_IN_T1707,5432,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Paul
4000544,28-05-2024,11:08:00.000,Live,true,40853,5,Product 5,Therapy 2,Proactive,Proactive,normal,20,0.000659722,t65Cb24245Zcy8fIZB,1157h00002H4jX2ZZJ,,OTH,,,,4616,true,Therapy 2,Video,NIM - Video,Product 5,Linked,Paul
4000158,02-12-2023,19:23:00.000,Practice,true,40698,9,Product 3,Therapy 2,Proactive,Proactive,normal,3,0.000995370,,,,,,,,4802,true,Therapy 2,PowerPoint,NIS - PPT,Product 3,Unlinked,Bella
4001886,03-01-2024,18:54:00.000,Live,true,41370,2,Product 5,Therapy 2,Proactive,Proactive,normal,3,0.000625000,,,,,,,9784-CTT_IN_T1707,4653,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Bella
4001077,20-09-2023,06:19:00.000,Practice,true,40960,5,Product 5,Therapy 2,Proactive,Proactive,normal,3,0.001388889,,,,,,,,5302,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Bella
4000441,04-03-2023,22:55:00.000,Live,false,40244,3,Product 5,Therapy 2,Proactive,Proactive,normal,3,0.003969907,,,,,,,1968-CTT_IN_T1709,4772,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Bella
4000849,13-11-2023,10:52:00.000,Live,true,40223,10,Product 4,Therapy 2,Proactive,Proactive,normal,11,0.038657407,t65Cb24245ZcxqdIZB,,2278h24245m7p72ZZZ,OTH,,,,5077,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Linked,Gloria
4001802,15-10-2023,14:34:00.000,Practice,false,41444,9,Product 4,Therapy 2,Proactive,Proactive,normal,11,0.001377315,,,,,,,,4764,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Gloria
4001245,22-07-2024,07:31:00.000,Practice,true,40254,4,Product 5,Therapy 2,Proactive,Proactive,normal,11,0.000497685,,,,,,,,5039,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Gloria
4001077,28-03-2023,07:31:00.000,Live,true,40481,7,Product 4,Therapy 2,Proactive,Proactive,normal,15,0.000185185,,,,,,,,5374,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Kren
4001533,21-05-2024,04:42:00.000,Live,false,40868,6,Product 4,Therapy 2,Proactive,Proactive,normal,15,0.001527778,,,,,,,1968-CTT_IN_T1709,4759,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Kren
4001011,25-01-2024,10:09:00.000,Practice,true,41886,9,Product 4,Therapy 2,Proactive,Proactive,normal,15,0.000254630,,,,,,,,4644,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Kren
4001305,25-11-2023,14:17:00.000,Practice,true,41761,3,Product 4,Therapy 2,Proactive,Proactive,normal,15,0.000324074,,,,,,,,5443,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Kren
4000687,14-03-2024,01:23:00.000,Live,true,41974,7,Product 5,Therapy 2,Proactive,Proactive,normal,15,0.000312500,,,,,,,1968-CTT_IN_T1709,4553,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Kren
4000761,12-05-2024,12:05:00.000,Practice,true,41960,1,Product 5,Therapy 2,Proactive,Proactive,normal,15,0.000254630,,,,,,,,5240,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Kren
4001559,18-03-2024,02:42:00.000,Live,true,40980,10,Product 5,Therapy 2,Proactive,Proactive,normal,15,0.000671296,t65Cb24245Zcw5VIZR,,,OTH,,,9784-CTT_IN_T1707,4900,true,Therapy 2,Video,NIM - Video,Product 5,Linked,Kren
4000416,08-02-2023,08:52:00.000,Practice,true,41500,9,Product 5,Therapy 2,Proactive,Proactive,normal,15,0.005972222,,,,,,,,5392,true,Therapy 2,Video,NIM - Video,Product 5,Unlinked,Kren
4001868,09-08-2023,22:49:00.000,Practice,true,41845,9,Product 5,Therapy 2,Proactive,Proactive,normal,15,0.002905093,,,,,,,,5318,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Kren
4000813,04-07-2023,17:51:00.000,Practice,false,40539,4,Product 7,Therapy 2,Proactive,Proactive,normal,15,0.002916667,,,,,,,,5176,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 7,Unlinked,Kren
4001472,14-01-2024,09:38:00.000,Practice,true,41801,5,Product 3,Therapy 2,Proactive,Proactive,normal,7,0.001006944,,,,,,,9784-CTT_IN_T1707,4653,true,Therapy 2,PowerPoint,NIS - PPT,Product 3,Unlinked,Denver
4000955,18-06-2023,05:46:00.000,Live,true,41697,8,Product 4,Therapy 2,Proactive,Proactive,normal,7,0.000243056,,,,,,,1968-CTT_IN_T1709,5472,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Denver
4000563,07-06-2023,15:38:00.000,Live,true,40297,5,Product 5,Therapy 2,Proactive,Proactive,normal,7,0.000902778,,,,,,,1968-CTT_IN_T1709,4573,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Denver
4000423,03-05-2024,00:17:00.000,Practice,true,41606,6,Product 5,Therapy 2,Proactive,Proactive,normal,7,0.004305556,,,,,,,9784-CTT_IN_T1707,5115,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Denver
4000620,03-11-2023,21:41:00.000,Practice,true,40554,9,Product 5,Therapy 2,Proactive,Proactive,normal,7,0.000590278,,,,,,,,5186,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Denver
4001097,15-05-2024,00:54:00.000,Practice,true,40936,7,Product 4,Therapy 2,Proactive,Proactive,normal,7,0.000324074,,,,,,,,4913,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Denver
4001247,11-07-2023,19:29:00.000,Practice,false,41840,5,Product 7,Therapy 2,Proactive,Proactive,normal,7,0.003981481,,,,,,,,5311,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 7,Unlinked,Denver
4000621,23-12-2023,16:39:00.000,Live,true,41452,10,Product 1,Therapy 1,Proactive,Proactive,normal,1,0.000752315,,,,,,,9789-CTT_IN_T9906,4590,true,Therapy 1,PowerPoint,NIS - PPT,Product 1,Unlinked,Alyssa
4001495,30-05-2023,22:48:00.000,Practice,true,40961,8,Product 2,Therapy 2,Proactive,Proactive,normal,1,0.000393519,,,,,,,,5175,true,Therapy 2,Video,NIM - Video,Product 2,Unlinked,Alyssa
4001235,24-08-2023,21:23:00.000,Live,true,41313,10,Product 5,Therapy 2,Proactive,Proactive,normal,1,0.008310185,t65Cb24245Zcv5ZIZB,,2278h22221PQttCZZT,OTH,,,1968-CTT_IN_T1709,4654,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Linked,Alyssa
4000488,12-01-2024,21:20:00.000,Practice,true,41702,8,Product 5,Therapy 2,Proactive,Proactive,normal,1,0.013344907,,,,,,,,4590,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Alyssa
4001419,27-02-2024,09:05:00.000,Practice,false,40668,2,Product 5,Therapy 2,Proactive,Proactive,normal,1,0.000625000,,,,,,,,5228,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Alyssa
4001157,24-09-2023,21:16:00.000,Practice,true,40920,9,Product 5,Therapy 2,Proactive,Proactive,normal,1,0.022500000,,,,,,,,5236,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Alyssa
4001006,15-09-2023,04:50:00.000,Live,true,41673,6,Product 5,Therapy 2,Proactive,Proactive,normal,1,0.000127315,,,,,,,,4865,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Alyssa
4000548,24-11-2023,17:57:00.000,Live,true,41437,5,Product 5,Therapy 2,Proactive,Proactive,normal,1,0.014745370,,,,,,,,5281,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Alyssa
4000800,29-07-2024,02:49:00.000,Live,true,40527,9,Product 5,Therapy 2,Proactive,Proactive,normal,1,0.000567130,,,,,,,,4570,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Alyssa
4001357,30-05-2024,20:52:00.000,Practice,true,40190,4,Product 5,Therapy 2,Proactive,Proactive,normal,1,0.028946759,,,,,,,,4971,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Alyssa
4001512,04-08-2023,14:35:00.000,Practice,false,41576,7,Product 5,Therapy 2,Proactive,Proactive,normal,6,0.019583333,,,,,,,9784-CTT_IN_T1707,5050,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Daniella
4001482,21-03-2024,01:07:00.000,Live,false,41890,10,Product 5,Therapy 2,Proactive,Proactive,normal,6,0.005810185,,,,,,,,5499,true,Therapy 2,Video,NIM - Video,Product 5,Unlinked,Daniella
4001554,22-08-2023,06:42:00.000,Live,false,40209,9,Product 5,Therapy 2,Proactive,Proactive,normal,6,0.003680556,,,,,,,1968-CTT_IN_T1709,5382,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Daniella
4000759,29-06-2023,07:00:00.000,Live,true,40990,2,Product 7,Therapy 2,Proactive,Proactive,normal,6,0.000810185,t65Cb24245ZwzdIIZR,,,OTH,,,9784-CTT_IN_T1707,4753,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 7,Linked,Daniella
4001036,03-05-2023,05:01:00.000,Practice,true,41839,9,Product 7,Therapy 2,Proactive,Proactive,normal,6,0.000138889,,,,,,,,4968,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 7,Unlinked,Daniella
4001136,26-02-2023,14:56:00.000,Practice,false,40636,9,Product 2,Therapy 2,Proactive,Proactive,normal,16,0.002812500,,,,,,,,5017,true,Therapy 2,Video,NIM - Video,Product 2,Unlinked,Mathew
4001328,21-06-2024,19:15:00.000,Live,true,41477,1,Product 4,Therapy 2,Proactive,Proactive,normal,16,0.000162037,,,,,,,1969-CTT_IN_T1704,4882,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Mathew
4001711,23-07-2023,01:00:00.000,Live,true,40535,1,Product 4,Therapy 2,Proactive,Proactive,normal,16,0.001111111,,,,,,,1969-CTT_IN_T1704,4956,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Mathew
4000979,25-08-2023,15:29:00.000,Live,true,40468,5,Product 5,Therapy 2,Proactive,Proactive,normal,16,0.008240741,,,,,,,,4601,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Mathew
4000640,12-05-2023,19:24:00.000,Live,true,41346,6,Product 5,Therapy 2,Proactive,Proactive,normal,16,0.009699074,t65Cb24245ZcwmHIZR,1157h00001CSWiMZZX,2278h22221CSWiMZZX,OTH,,,,4555,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Linked,Mathew
4001709,01-02-2023,14:20:00.000,Live,true,40000,5,Product 4,Therapy 2,Proactive,Proactive,normal,16,0.001898148,t65Cb24245ZcwZtIZJ,,2278h24245g1OBtZZM,OTH,,,1968-CTT_IN_T1709,5167,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Linked,Mathew
4001416,06-08-2023,18:25:00.000,Live,true,41728,3,Product 6,Therapy 1,Proactive,Proactive,normal,16,0.011168981,t65Cb24245ZwzcfIZB,,221Hq22223IbvVoIZJ,OTH,,,9600-CTT_IN_T9901,5104,true,Therapy 1,HTML,NIS - PPT,Product 6,Linked,Mathew
4000941,13-11-2023,06:28:00.000,Live,true,40180,7,Product 4,Therapy 2,Proactive,Proactive,normal,13,0.004513889,,,,,,,,4971,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Jorge
4001536,06-05-2023,14:49:00.000,Live,true,40498,5,Product 4,Therapy 2,Proactive,Proactive,normal,13,0.018842593,,,,,,,,5218,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Jorge
4000887,27-03-2024,20:17:00.000,Live,false,41533,8,Product 4,Therapy 2,Proactive,Proactive,normal,13,0.062858796,,,,,,,,5266,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Jorge
4000769,01-04-2023,10:25:00.000,Live,true,40902,10,Product 5,Therapy 2,Proactive,Proactive,normal,13,0.000162037,,,,,,,,4817,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Jorge
4001304,29-01-2023,19:35:00.000,Practice,true,40545,8,Product 5,Therapy 2,Proactive,Proactive,normal,13,0.000740741,,,,,,,,5181,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Jorge
4001928,23-06-2023,05:16:00.000,Practice,true,41242,10,Product 5,Therapy 2,Proactive,Proactive,normal,13,0.007962963,,,,,,,,5313,true,Therapy 2,Video,NIM - Video,Product 5,Unlinked,Jorge
4000895,08-12-2023,03:33:00.000,Practice,false,41178,7,Product 5,Therapy 2,Proactive,Proactive,normal,13,0.000590278,,,,,,,,5085,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Jorge
4000682,05-03-2023,08:30:00.000,Practice,true,41932,10,Product 5,Therapy 2,Proactive,Proactive,normal,13,0.002349537,,,,,,,,4663,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Jorge
4001776,14-07-2023,05:39:00.000,Practice,true,40847,2,Product 5,Therapy 2,Proactive,Proactive,normal,13,0.002604167,,,,,,,,4955,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Jorge
4001835,13-04-2023,09:27:00.000,Live,true,40607,3,Product 6,Therapy 1,Proactive,Proactive,normal,13,0.000451389,,,,,,,9769-CTT_IN_T9704,4690,true,Therapy 1,HTML,NIS - PPT,Product 6,Unlinked,Jorge
4000225,24-12-2023,23:20:00.000,Practice,true,41929,3,Product 6,Therapy 1,Proactive,Proactive,normal,13,0.021782407,,,,,,,9549-CTT_IN_T9109,5397,true,Therapy 1,HTML,NIS - PPT,Product 6,Unlinked,Jorge
4000036,06-02-2024,22:53:00.000,Practice,true,40757,10,Product 3,Therapy 2,Proactive,Proactive,normal,24,0.000254630,,,,,,,9784-CTT_IN_T1707,5139,true,Therapy 2,PowerPoint,NIS - PPT,Product 3,Unlinked,Steve
4000435,21-04-2023,14:38:00.000,Practice,true,41505,6,Product 3,Therapy 2,Proactive,Proactive,normal,24,0.000706019,,,,,,,,5437,true,Therapy 2,PowerPoint,NIS - PPT,Product 3,Unlinked,Steve
4000393,21-05-2024,22:01:00.000,Practice,true,41900,5,Product 4,Therapy 2,Proactive,Proactive,normal,24,0.007245370,,,,,,,9784-CTT_IN_T1707,5485,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Steve
4000978,22-08-2023,12:57:00.000,Live,true,41697,9,Product 5,Therapy 2,Proactive,Proactive,normal,24,0.000266204,,,,,,,,5099,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Steve
4001365,26-05-2024,11:41:00.000,Live,true,40028,1,Product 5,Therapy 2,Proactive,Proactive,normal,24,0.000613426,t65Cb24245ZcwdqIZB,,2278h24245g1NEwZZM,OTH,,,9784-CTT_IN_T1707,5438,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Linked,Steve
4000702,04-06-2023,03:58:00.000,Practice,false,40177,5,Product 5,Therapy 2,Proactive,Proactive,normal,24,0.011365741,,,,,,,,4535,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Steve
4000150,23-04-2023,07:34:00.000,Practice,true,40689,1,Product 5,Therapy 2,Proactive,Proactive,normal,24,0.000671296,,,,,,,,4584,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Steve
4001722,05-04-2024,02:13:00.000,Live,true,41778,10,Product 4,Therapy 2,Proactive,Proactive,normal,24,0.002071759,,,,,,,,5314,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Steve
4000926,19-02-2023,20:49:00.000,Live,true,41516,8,Product 4,Therapy 2,Proactive,Proactive,normal,24,0.002858796,,,,,,,1968-CTT_IN_T1709,4761,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Steve
4000248,25-06-2024,21:01:00.000,Practice,false,40544,2,Product 2,Therapy 2,Proactive,Proactive,normal,10,0.002766204,,,,,,,,5181,true,Therapy 2,Video,NIM - Video,Product 2,Unlinked,Elvin
4000432,25-01-2024,07:30:00.000,Practice,true,41713,9,Product 3,Therapy 2,Proactive,Proactive,normal,10,0.019699074,,,,,,,,4619,true,Therapy 2,PowerPoint,NIS - PPT,Product 3,Unlinked,Elvin
4000317,12-05-2023,19:07:00.000,Practice,true,40549,6,Product 4,Therapy 2,Proactive,Proactive,normal,10,0.037685185,,,,,,,,5207,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Elvin
4000067,03-11-2023,12:05:00.000,Live,true,41496,4,Product 4,Therapy 2,Proactive,Proactive,normal,10,0.000567130,t65Cb24245ZcyZwIZJ,,,OTH,,,9784-CTT_IN_T1707,4525,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Linked,Elvin
4001665,01-05-2024,13:03:00.000,Practice,false,40398,9,Product 5,Therapy 2,Proactive,Proactive,normal,10,0.085995370,,,,,,,,4992,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Elvin
4000144,21-10-2023,03:09:00.000,Practice,false,41277,2,Product 5,Therapy 2,Proactive,Proactive,normal,10,0.001203704,,,,,,,,4933,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Elvin
4000810,18-06-2024,00:55:00.000,Practice,true,40280,1,Product 5,Therapy 2,Proactive,Proactive,normal,10,0.023414352,,,,,,,9784-CTT_IN_T1707,4897,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Elvin
4000639,22-08-2023,00:26:00.000,Practice,true,41203,6,Product 7,Therapy 2,Proactive,Proactive,normal,10,0.005243056,,,,,,,9784-CTT_IN_T1707,5335,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 7,Unlinked,Elvin
4000383,03-04-2024,16:07:00.000,Live,false,41917,8,Product 4,Therapy 2,Proactive,Proactive,normal,12,0.001597222,,,,,,,1968-CTT_IN_T1709,4814,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Harry
4000831,09-06-2023,05:39:00.000,Live,true,40996,1,Product 5,Therapy 2,Proactive,Proactive,normal,12,0.000925926,t65Cb24245ZcwE2IZJ,1157t24245g1MeVZZU,2278h24245g1MeVZZU,OTH,,,,4731,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Linked,Harry
4000935,01-06-2023,00:22:00.000,Practice,false,41917,9,Product 5,Therapy 2,Proactive,Proactive,normal,12,0.002650463,,,,,,,9784-CTT_IN_T1707,4903,true,Therapy 2,Video,NIM - Video,Product 5,Unlinked,Harry
4000504,23-02-2024,00:38:00.000,Practice,true,40611,4,Product 5,Therapy 2,Proactive,Proactive,normal,12,0.027592593,,,,,,,9784-CTT_IN_T1707,5314,true,Therapy 2,Video,NIM - Video,Product 5,Unlinked,Harry
4000850,27-09-2023,19:35:00.000,Live,true,41686,8,Product 1,Therapy 1,Proactive,Proactive,normal,8,0.001365741,,,,,,,,4670,true,Therapy 1,PowerPoint,NIS - PPT,Product 1,Unlinked,Dimtri
4001138,06-07-2023,19:45:00.000,Live,true,40821,6,Product 4,Therapy 2,Proactive,Proactive,normal,8,0.001307870,t65Cb24245ZcwtoIZB,,2278h24245g1OV3ZZM,OTH,,,,4507,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Linked,Dimtri
4000424,18-06-2024,15:41:00.000,Practice,true,41216,1,Product 4,Therapy 2,Proactive,Proactive,normal,8,0.027361111,,,,,,,9784-CTT_IN_T1707,4739,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Dimtri
4001408,29-07-2024,07:11:00.000,Practice,true,41398,8,Product 4,Therapy 2,Proactive,Proactive,normal,8,0.000150463,,,,,,,,4766,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Dimtri
4000021,14-03-2024,00:11:00.000,Live,true,41862,7,Product 5,Therapy 2,Proactive,Proactive,normal,8,0.000659722,,,,,,,1968-CTT_IN_T1709,4736,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Dimtri
4000770,21-03-2023,00:59:00.000,Practice,true,41842,1,Product 5,Therapy 2,Proactive,Proactive,normal,8,0.000219907,,,,,,,,5248,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Dimtri
4001404,16-03-2024,06:23:00.000,Live,true,40308,2,Product 5,Therapy 2,Proactive,Proactive,normal,8,0.000208333,,,,,,,,4762,true,Therapy 2,Video,NIM - Video,Product 5,Unlinked,Dimtri
4001957,14-07-2024,13:31:00.000,Practice,false,40927,2,Product 4,Therapy 2,Proactive,Proactive,normal,14,0.001053241,,,,,,,,5350,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Kevin
4001447,07-11-2023,14:27:00.000,Live,false,41845,10,Product 4,Therapy 2,Proactive,Proactive,normal,14,0.008229167,,,,,,,,4861,true,Therapy 2,Video,NIM - Video,Product 4,Unlinked,Kevin
4000031,25-02-2024,18:44:00.000,Live,true,40065,5,Product 4,Therapy 2,Proactive,Proactive,normal,14,0.004212963,,,,,,,,5063,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Kevin
4001346,03-06-2024,09:04:00.000,Live,true,40399,3,Product 5,Therapy 2,Proactive,Proactive,normal,14,0.019976852,t65Cb24245ZcxDLIZZ,,2278h22221PQu3oZZD,OTH,,,1968-CTT_IN_T1709,4732,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Linked,Kevin
4000074,10-10-2023,09:48:00.000,Live,true,41496,6,Product 5,Therapy 2,Proactive,Proactive,normal,14,0.000856481,,,,,,,1968-CTT_IN_T1709,4506,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Kevin
4000432,12-04-2024,17:39:00.000,Practice,true,41720,7,Product 5,Therapy 2,Proactive,Proactive,normal,14,0.023842593,,,,,,,9784-CTT_IN_T1707,4997,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Kevin
4001384,31-05-2024,09:36:00.000,Practice,true,40208,4,Product 5,Therapy 2,Proactive,Proactive,normal,14,0.031319444,,,,,,,9784-CTT_IN_T1707,4863,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Kevin
