INTERACTION_TYPE,INTERACTION_CATEGORY,VENUE,CREATE_DATE,INTERACTION_VENUE,RESIDENCY_PROGRAM,INITIATIVE,PRODUCT_NAME,PRODUCT__GROUP,DPO_COMPOUND,Customer Type,INITIATIVE__CATEGORY,MSL_ID,MSL,CALL_ID,THERAPY_NAME,CUSTOMER_TYPE,NAME,TOTAL_CLINICAL_PROGRAM_ATTENDEES,IS_PARENT__C,CLINICAL_INTERACTION_DETAIL_ID,INITIATIVES,INTERACTION_NAME,BIFURCATION
Telephone,Mail,Proactive,03-12-2023,Clinical Program Proactive,TRUE,Initiative 5,Product 1,Product Group 1,Compound 2,KOL,Elite Launch Support,0D52A927,Glen,79e4d92315e14f95af,THERAPY 2,KOL,WCT-410039,25,FALSE,e99FT891103,Initiative 8,IJ964023,MED
Video Conferencing,Mail,Other,24-07-2023,Off-Site,FALSE,Initiative 2,Product 3,Product Group 1,Compound 2,KOL,Best Clinical Practices,351BFB2A,Glen,e2718835306f4195a1,THERAPY 2,Non KOL,WCT-410811,4,FALSE,e99FT477440,Initiative 10,IJ954836,COMM
Telephone,Mail,Proactive,30-03-2025,Clinical Program Reactive,TRUE,Initiative 5,Product 2,Product Group 1,Compound 3,KOL,Study Support,0F7B0540,Kevin,dfa36cf284bd432d99,THERAPY 3,NON-KOL,WCT-410150,13,TRUE,e99FT764235,Initiative 2,IJ491693,COMM
Face to Face,Call,Reactive,31-10-2024,Practice-Site,FALSE,Initiative 1,Product 2,Product Group 1,Compound 5,Others,Portfolio Management,FA16A9A4,Robin,ba9e21bc53cb4eb2ba,THERAPY 3,NON-KOL,WCT-410576,2,TRUE,e99FT838584,Initiative 10,IJ288562,COMM
Digital,Call,Proactive,14-02-2024,Off-Site,TRUE,Initiative 11,Product 2,Product Group 3,Compound 5,Others,Elite Launch Support,E1754DC8,Amanda,5ac3c37a3187427f86,THERAPY 2,KOL,WCT-410571,13,TRUE,e99FT668068,Initiative 7,IJ854984,MED
Telephone,In-Person,Other,12-10-2023,Practice-Site,FALSE,Initiative 6,Product 3,Product Group 3,Compound 2,KOL,FAS BTX Differentiations,FECF8CD9,Steve,ad97ee2b02dd4327a8,THERAPY 1,Non KOL,WCT-410343,19,FALSE,e99FT425853,Initiative 7,IJ361713,MED
Telephone,Call,Reactive,25-08-2023,Clinical Program Reactive,TRUE,Initiative 8,Product 2,Product Group 2,Compound 2,Others,FAS BTX Differentiations,716212FE,Robin,41559947dcfb4d5da3,THERAPY 3,Non KOL,WCT-410561,13,FALSE,e99FT332442,Initiative 11,IJ638872,MED
Face to Face,Mail,Other,11-02-2024,Practice-Site,FALSE,Initiative 3,Product 1,Product Group 1,Compound 4,Others,Best Clinical Practices,2A4E6B31,Bella,74db36d9493e4f9693,THERAPY 2,Non KOL,WCT-410097,1,FALSE,e99FT812786,Initiative 11,IJ792463,COMM
Digital,In-Person,Other,03-04-2025,Clinical Program Proactive,FALSE,Initiative 9,Product 3,Product Group 2,Compound 2,Others,Elite Launch Support,54A07E6A,Elvin,9f8c7a71526a42f3b6,THERAPY 1,NON-KOL,WCT-410055,24,FALSE,e99FT556555,Initiative 5,IJ606762,MED
Telephone,Call,Reactive,22-11-2024,Off-Site,TRUE,Initiative 8,Product 3,Product Group 2,Compound 5,Others,Elite Launch Support,889F0345,Chris,0b153aaff5414cfe91,THERAPY 1,NON-KOL,WCT-410301,14,TRUE,e99FT308335,Initiative 10,IJ455786,MED
Face to Face,In-Person,Reactive,27-08-2023,Off-Site,TRUE,Initiative 12,Product 3,Product Group 1,Compound 3,KOL,Elite Launch Support,DC713FC4,Kevin,94cfdb62b649405c8e,THERAPY 1,Non KOL,WCT-410525,18,TRUE,e99FT847367,Initiative 4,IJ794128,COMM
Telephone,In-Person,Proactive,08-05-2024,Off-Site,TRUE,Initiative 4,Product 2,Product Group 1,Compound 4,Others,Study Support,E5CE8EDC,Glen,ed1e0aff502b4373a8,THERAPY 1,KOL,WCT-410869,19,FALSE,e99FT381536,Initiative 1,IJ465011,MED
Face to Face,In-Person,Proactive,03-05-2024,Clinical Program Reactive,TRUE,Initiative 3,Product 3,Product Group 3,Compound 3,Others,FAS BTX Differentiations,C04EF40C,Morgan,13b77ad8c04d4b1f81,THERAPY 3,NON-KOL,WCT-410518,24,FALSE,e99FT987696,Initiative 8,IJ916728,MED
Telephone,Mail,Proactive,04-05-2024,Practice-Site,TRUE,Initiative 6,Product 3,Product Group 1,Compound 1,Others,Study Support,C7A9D062,Sanchez,b52ca227e8cc4151a1,THERAPY 1,NON-KOL,WCT-410165,2,TRUE,e99FT356086,Initiative 12,IJ358736,MED
Face to Face,Call,Reactive,17-10-2024,Off-Site,FALSE,Initiative 9,Product 2,Product Group 3,Compound 1,KOL,FAS BTX Differentiations,29FD2AF1,Kevin,f3b425049fa645ce96,THERAPY 2,Non KOL,WCT-410318,22,TRUE,e99FT370082,Initiative 3,IJ419009,COMM
Face to Face,Call,Reactive,05-03-2024,Clinical Program Proactive,FALSE,Initiative 4,Product 2,Product Group 2,Compound 1,Others,Elite Launch Support,028C2F9A,Kren,ffbc4ee9ddd9421892,THERAPY 2,Non KOL,WCT-410125,25,FALSE,e99FT710081,Initiative 2,IJ667419,COMM
Telephone,In-Person,Other,12-06-2024,Clinical Program Proactive,FALSE,Initiative 2,Product 3,Product Group 3,Compound 4,KOL,Portfolio Management,9D69AF58,Gloria,fb757e399c5b4c3094,THERAPY 3,Non KOL,WCT-410454,24,FALSE,e99FT725527,Initiative 8,IJ293407,MED
Digital,Call,Other,26-09-2024,Clinical Program Reactive,TRUE,Initiative 12,Product 3,Product Group 3,Compound 5,Others,Portfolio Management,1EB8A42A,Kren,350a004e0c3d4b049c,THERAPY 2,Non KOL,WCT-410337,12,TRUE,e99FT495890,Initiative 12,IJ476694,MED
Face to Face,Online,Proactive,26-04-2024,Practice-Site,FALSE,Initiative 5,Product 3,Product Group 3,Compound 3,KOL,Study Support,4ADADE8D,Edward,95e4af595f6e4839b7,THERAPY 3,Non KOL,WCT-410950,10,TRUE,e99FT629930,Initiative 9,IJ775997,COMM
Video Conferencing,Online,Proactive,26-04-2023,Clinical Program Reactive,TRUE,Initiative 7,Product 3,Product Group 2,Compound 3,KOL,Study Support,169FDB28,Bella,4f1ebe6f617747c4a2,THERAPY 2,KOL,WCT-410691,24,FALSE,e99FT622223,Initiative 3,IJ352180,COMM
Face to Face,Mail,Proactive,13-01-2024,Clinical Program Proactive,TRUE,Initiative 11,Product 1,Product Group 2,Compound 4,Others,Elite Launch Support,D50D550A,Daniella,22f71bdad4c44baea7,THERAPY 2,Non KOL,WCT-410021,2,FALSE,e99FT146478,Initiative 12,IJ170300,MED
Face to Face,Online,Reactive,04-03-2024,Clinical Program Proactive,FALSE,Initiative 3,Product 2,Product Group 3,Compound 4,KOL,Elite Launch Support,F7F4ED1C,Shane,9f10affc01154448ac,THERAPY 3,Non KOL,WCT-410710,0,TRUE,e99FT982476,Initiative 2,IJ122301,MED
Digital,In-Person,Reactive,13-04-2023,Off-Site,FALSE,Initiative 7,Product 1,Product Group 3,Compound 2,Others,Portfolio Management,D498E2A3,Daniella,26635ffc2f9d4c41a9,THERAPY 2,Non KOL,WCT-410672,4,TRUE,e99FT126222,Initiative 11,IJ741372,COMM
Face to Face,Online,Proactive,27-02-2024,Clinical Program Proactive,TRUE,Initiative 1,Product 2,Product Group 3,Compound 4,Others,FAS BTX Differentiations,609CC461,Alyssa,fbd1c45ac24a48f489,THERAPY 3,NON-KOL,WCT-410802,9,FALSE,e99FT540996,Initiative 3,IJ346307,COMM
Telephone,Mail,Reactive,04-12-2024,Clinical Program Reactive,TRUE,Initiative 6,Product 2,Product Group 1,Compound 1,KOL,FAS BTX Differentiations,7D3A5A2D,Bella,ee229c236da44e8792,THERAPY 3,KOL,WCT-410001,13,FALSE,e99FT612106,Initiative 11,IJ855283,COMM
Face to Face,Call,Other,17-11-2023,Practice-Site,TRUE,Initiative 2,Product 1,Product Group 3,Compound 3,KOL,Elite Launch Support,C320ACAC,Alyssa,53079de5aeb946898b,THERAPY 2,Non KOL,WCT-410704,15,FALSE,e99FT401121,Initiative 5,IJ956299,MED
Video Conferencing,Call,Reactive,29-10-2024,Clinical Program Proactive,FALSE,Initiative 5,Product 3,Product Group 2,Compound 5,KOL,Best Clinical Practices,4CD52AAC,Meilena,3aa4eea30f504d8ca3,THERAPY 2,KOL,WCT-410522,3,TRUE,e99FT246254,Initiative 12,IJ906140,MED
Digital,Mail,Reactive,17-06-2023,Off-Site,FALSE,Initiative 10,Product 2,Product Group 1,Compound 2,Others,Best Clinical Practices,636200D2,Edward,b3cd8e59ac2e45a6b8,THERAPY 2,KOL,WCT-410258,9,TRUE,e99FT782998,Initiative 12,IJ989408,COMM
Face to Face,Online,Other,27-01-2025,Clinical Program Reactive,FALSE,Initiative 12,Product 2,Product Group 3,Compound 1,Others,Best Clinical Practices,932893D3,Jorge,9c156062e9a24f19a8,THERAPY 2,Non KOL,WCT-410610,15,FALSE,e99FT187385,Initiative 8,IJ191023,COMM
Telephone,Mail,Other,06-07-2023,Clinical Program Reactive,FALSE,Initiative 3,Product 1,Product Group 1,Compound 5,Others,Elite Launch Support,D9D38141,Sanchez,2f13d8853717439d81,THERAPY 2,Non KOL,WCT-410679,6,FALSE,e99FT577444,Initiative 10,IJ827718,COMM
Digital,In-Person,Reactive,06-05-2024,Clinical Program Proactive,FALSE,Initiative 1,Product 1,Product Group 1,Compound 3,Others,Elite Launch Support,7C68DC53,Gloria,c5c5620fa9ef4e69ba,THERAPY 1,NON-KOL,WCT-410065,5,FALSE,e99FT472730,Initiative 12,IJ411908,MED
Face to Face,Mail,Reactive,20-03-2025,Off-Site,TRUE,Initiative 8,Product 1,Product Group 2,Compound 5,Others,Best Clinical Practices,A391D265,Steve,a7f57f982843445f81,THERAPY 3,NON-KOL,WCT-410516,20,FALSE,e99FT703751,Initiative 1,IJ741523,MED
Face to Face,In-Person,Reactive,25-07-2024,Clinical Program Proactive,TRUE,Initiative 5,Product 3,Product Group 1,Compound 4,Others,Study Support,99E8E029,Paul,0a9b52a0f37140fe9c,THERAPY 1,Non KOL,WCT-410679,24,FALSE,e99FT937016,Initiative 9,IJ449275,MED
Video Conferencing,Call,Reactive,12-10-2023,Practice-Site,TRUE,Initiative 9,Product 3,Product Group 1,Compound 3,Others,Elite Launch Support,D9954B09,Elvin,a24af29fec2a47ea8d,THERAPY 1,NON-KOL,WCT-410137,5,FALSE,e99FT961187,Initiative 12,IJ187852,MED
Face to Face,Mail,Reactive,21-11-2024,Clinical Program Reactive,FALSE,Initiative 2,Product 3,Product Group 1,Compound 5,Others,FAS BTX Differentiations,849EE00B,Chris,240db84ec7cd49ff91,THERAPY 3,KOL,WCT-410221,3,TRUE,e99FT191412,Initiative 8,IJ301082,MED
Face to Face,Online,Reactive,18-08-2024,Practice-Site,FALSE,Initiative 11,Product 3,Product Group 2,Compound 1,KOL,Portfolio Management,CD0A05CA,Alyssa,109e30e497624272b9,THERAPY 1,KOL,WCT-410513,11,TRUE,e99FT967087,Initiative 6,IJ165059,COMM
Telephone,Mail,Reactive,26-11-2024,Practice-Site,FALSE,Initiative 2,Product 2,Product Group 1,Compound 5,KOL,Best Clinical Practices,349A4584,Gloria,25b02779ca4d48f88e,THERAPY 2,NON-KOL,WCT-410723,21,TRUE,e99FT803500,Initiative 9,IJ868438,COMM
Face to Face,Mail,Reactive,21-09-2024,Clinical Program Proactive,FALSE,Initiative 2,Product 1,Product Group 2,Compound 5,KOL,Portfolio Management,5ECB8E10,Glen,f9c5550e16cd4cfca0,THERAPY 3,NON-KOL,WCT-410095,19,TRUE,e99FT588473,Initiative 2,IJ842626,MED
Telephone,In-Person,Reactive,21-11-2023,Clinical Program Reactive,FALSE,Initiative 4,Product 2,Product Group 2,Compound 2,Others,Study Support,CC9D0EE4,Gloria,0bfe0ea01a844a0899,THERAPY 2,KOL,WCT-410731,0,FALSE,e99FT875629,Initiative 5,IJ153362,MED
Face to Face,Online,Other,21-03-2025,Clinical Program Proactive,FALSE,Initiative 2,Product 3,Product Group 1,Compound 3,Others,Study Support,EAB8D2F8,Kren,23b5c4fd18984aa0bb,THERAPY 2,NON-KOL,WCT-410406,21,TRUE,e99FT548106,Initiative 4,IJ647535,COMM
Video Conferencing,Call,Reactive,19-08-2023,Practice-Site,FALSE,Initiative 8,Product 1,Product Group 3,Compound 3,Others,Elite Launch Support,9309496D,Kren,c9e7d97cd16d4bc2bb,THERAPY 2,Non KOL,WCT-410267,5,FALSE,e99FT578114,Initiative 10,IJ417553,COMM
Telephone,Online,Proactive,04-10-2023,Clinical Program Reactive,TRUE,Initiative 12,Product 1,Product Group 3,Compound 1,KOL,Best Clinical Practices,E524742A,Kren,493b08bdc5d44317b2,THERAPY 1,Non KOL,WCT-410329,2,TRUE,e99FT107384,Initiative 2,IJ155920,COMM
Face to Face,Mail,Reactive,11-03-2024,Clinical Program Reactive,FALSE,Initiative 9,Product 3,Product Group 3,Compound 1,KOL,Elite Launch Support,5014D0A0,Gloria,a63599d32a334e1e9f,THERAPY 1,KOL,WCT-410929,6,FALSE,e99FT479412,Initiative 9,IJ606234,COMM
Face to Face,Call,Reactive,05-05-2024,Off-Site,TRUE,Initiative 11,Product 1,Product Group 2,Compound 5,Others,Portfolio Management,7CF0821F,Harry,1a48535d49da462d99,THERAPY 2,KOL,WCT-410385,18,FALSE,e99FT473825,Initiative 1,IJ825361,MED
Video Conferencing,Mail,Other,21-04-2024,Clinical Program Reactive,TRUE,Initiative 10,Product 2,Product Group 3,Compound 2,Others,Elite Launch Support,534BCD78,Dimtri,6c740b5cfc1f436087,THERAPY 2,NON-KOL,WCT-410590,2,TRUE,e99FT903819,Initiative 3,IJ929480,MED
Video Conferencing,In-Person,Reactive,04-04-2024,Practice-Site,FALSE,Initiative 11,Product 2,Product Group 2,Compound 5,KOL,FAS BTX Differentiations,EC4D78CE,Chris,d745b860f35d48d4a2,THERAPY 2,NON-KOL,WCT-410058,2,TRUE,e99FT794544,Initiative 9,IJ271404,MED
Face to Face,Mail,Other,27-12-2024,Clinical Program Reactive,FALSE,Initiative 9,Product 3,Product Group 2,Compound 5,Others,FAS BTX Differentiations,A3EDEE91,Glen,1faa646bd76b4784ac,THERAPY 2,NON-KOL,WCT-410137,7,TRUE,e99FT408526,Initiative 6,IJ719094,MED
Video Conferencing,Call,Reactive,27-04-2023,Clinical Program Reactive,FALSE,Initiative 3,Product 1,Product Group 1,Compound 5,Others,Elite Launch Support,5539D71F,Gloria,92a9cb256d774eb087,THERAPY 2,Non KOL,WCT-410383,16,TRUE,e99FT831010,Initiative 2,IJ145191,COMM
Telephone,Mail,Proactive,08-03-2025,Clinical Program Proactive,TRUE,Initiative 2,Product 1,Product Group 3,Compound 1,Others,Elite Launch Support,F8B31C06,Elvin,2e5b2d80f5724d9b9c,THERAPY 2,KOL,WCT-410115,13,FALSE,e99FT722879,Initiative 11,IJ151986,COMM
Video Conferencing,Mail,Other,10-10-2024,Off-Site,FALSE,Initiative 2,Product 1,Product Group 1,Compound 1,KOL,Study Support,63114AEC,Meilena,d929d42dad6047999b,THERAPY 3,Non KOL,WCT-410551,18,FALSE,e99FT718072,Initiative 5,IJ231563,MED
Face to Face,Call,Other,04-11-2024,Clinical Program Proactive,TRUE,Initiative 3,Product 1,Product Group 2,Compound 5,KOL,FAS BTX Differentiations,3D1FD684,Alyssa,ea9a25f18e5f444e91,THERAPY 2,KOL,WCT-410049,17,FALSE,e99FT680251,Initiative 1,IJ577598,COMM
Telephone,In-Person,Reactive,09-02-2025,Practice-Site,FALSE,Initiative 2,Product 1,Product Group 3,Compound 2,KOL,Elite Launch Support,16FAC3F6,Jorge,498b32a8c8064bb590,THERAPY 3,Non KOL,WCT-410165,3,FALSE,e99FT350035,Initiative 7,IJ349120,MED
Face to Face,In-Person,Reactive,29-05-2024,Clinical Program Reactive,TRUE,Initiative 12,Product 1,Product Group 2,Compound 2,Others,Best Clinical Practices,CC1617F3,Merry,42bac1c28c8442c182,THERAPY 1,KOL,WCT-410036,3,FALSE,e99FT572615,Initiative 5,IJ911831,MED
Video Conferencing,Call,Other,07-07-2024,Clinical Program Proactive,FALSE,Initiative 2,Product 1,Product Group 3,Compound 1,KOL,FAS BTX Differentiations,49069009,Dimtri,b483ca6592da48be92,THERAPY 3,KOL,WCT-410225,24,FALSE,e99FT523995,Initiative 11,IJ347687,MED
Telephone,Call,Proactive,16-09-2023,Clinical Program Proactive,TRUE,Initiative 12,Product 3,Product Group 3,Compound 2,KOL,Best Clinical Practices,F29986F1,Shane,30f793f01315482ba8,THERAPY 1,Non KOL,WCT-410128,19,FALSE,e99FT352396,Initiative 1,IJ378395,COMM
Video Conferencing,Mail,Proactive,12-08-2024,Clinical Program Reactive,FALSE,Initiative 8,Product 1,Product Group 3,Compound 3,KOL,Elite Launch Support,4F3BDB65,Elvin,322d18e14b1b44bd99,THERAPY 2,KOL,WCT-410111,14,TRUE,e99FT595182,Initiative 4,IJ729309,MED
Video Conferencing,Online,Proactive,26-11-2023,Off-Site,TRUE,Initiative 10,Product 1,Product Group 1,Compound 5,KOL,FAS BTX Differentiations,1F80E6C7,Alyssa,065207ab1f0143968a,THERAPY 1,KOL,WCT-410928,2,TRUE,e99FT658288,Initiative 11,IJ714663,MED
Telephone,Call,Proactive,12-06-2023,Clinical Program Reactive,TRUE,Initiative 3,Product 2,Product Group 3,Compound 5,KOL,Portfolio Management,2A77217D,Robin,fafaa98b12b444d5b1,THERAPY 2,Non KOL,WCT-410726,4,TRUE,e99FT267138,Initiative 6,IJ408781,MED
Digital,Online,Other,25-09-2024,Clinical Program Proactive,FALSE,Initiative 12,Product 3,Product Group 1,Compound 5,KOL,Portfolio Management,76336176,Shane,a0b55e2b5b1246219d,THERAPY 2,KOL,WCT-410957,0,FALSE,e99FT432125,Initiative 11,IJ997081,COMM
Face to Face,Online,Proactive,05-11-2023,Clinical Program Reactive,TRUE,Initiative 12,Product 1,Product Group 2,Compound 3,KOL,Elite Launch Support,AA12DB2C,Bella,6aaca04ad67b49c697,THERAPY 1,KOL,WCT-410248,16,TRUE,e99FT581752,Initiative 5,IJ977186,MED
Face to Face,Online,Proactive,21-12-2024,Off-Site,FALSE,Initiative 10,Product 3,Product Group 1,Compound 4,Others,Elite Launch Support,84456DC4,Meilena,5b557521980a4d7496,THERAPY 2,NON-KOL,WCT-410118,24,TRUE,e99FT459191,Initiative 6,IJ132254,COMM
Digital,Call,Other,12-09-2024,Off-Site,FALSE,Initiative 4,Product 2,Product Group 1,Compound 3,Others,Portfolio Management,D16C353D,Amanda,cf404bd132cc405582,THERAPY 3,Non KOL,WCT-410477,23,FALSE,e99FT504943,Initiative 11,IJ779459,MED
Digital,Online,Reactive,01-09-2023,Clinical Program Proactive,TRUE,Initiative 3,Product 2,Product Group 1,Compound 5,KOL,Best Clinical Practices,127E71B4,Harry,7a74c5fa64e84b3da2,THERAPY 3,KOL,WCT-410087,19,FALSE,e99FT435920,Initiative 11,IJ143873,COMM
Digital,Online,Other,19-04-2024,Clinical Program Proactive,TRUE,Initiative 1,Product 2,Product Group 1,Compound 5,Others,Study Support,A7CF3B87,Morgan,4b90f9604cec43bb8a,THERAPY 3,Non KOL,WCT-410621,0,TRUE,e99FT413058,Initiative 8,IJ587563,MED
Digital,Call,Proactive,03-09-2023,Practice-Site,FALSE,Initiative 9,Product 1,Product Group 1,Compound 3,Others,Best Clinical Practices,A9450F85,Edward,bd072fa49dce48a9a8,THERAPY 1,Non KOL,WCT-410134,16,FALSE,e99FT104959,Initiative 9,IJ778970,MED
Digital,Online,Other,31-07-2023,Clinical Program Proactive,TRUE,Initiative 12,Product 2,Product Group 1,Compound 2,KOL,FAS BTX Differentiations,E54053FB,Steve,348f5a15adfe4c8c83,THERAPY 3,Non KOL,WCT-410192,8,TRUE,e99FT206288,Initiative 1,IJ315775,MED
Video Conferencing,Online,Reactive,06-01-2025,Off-Site,FALSE,Initiative 4,Product 2,Product Group 3,Compound 5,Others,Best Clinical Practices,28EF5CE8,Harry,c34168264f3f4025ab,THERAPY 1,KOL,WCT-410792,15,TRUE,e99FT573320,Initiative 5,IJ290741,MED
Face to Face,In-Person,Proactive,14-04-2024,Clinical Program Proactive,TRUE,Initiative 6,Product 3,Product Group 3,Compound 2,Others,Elite Launch Support,6519B8F9,Amanda,fcf705186a8940b48a,THERAPY 3,NON-KOL,WCT-410624,2,FALSE,e99FT266900,Initiative 6,IJ523545,MED
Face to Face,Call,Proactive,08-09-2024,Clinical Program Proactive,TRUE,Initiative 12,Product 2,Product Group 3,Compound 3,Others,Best Clinical Practices,CBD1CA84,Elvin,8b14f69b69b14db8a7,THERAPY 1,NON-KOL,WCT-410298,20,FALSE,e99FT181147,Initiative 1,IJ322986,COMM
Digital,In-Person,Reactive,25-12-2024,Off-Site,TRUE,Initiative 6,Product 3,Product Group 1,Compound 3,Others,Best Clinical Practices,13CA1697,Daniella,363dec82dcf5438d84,THERAPY 1,Non KOL,WCT-410258,3,TRUE,e99FT278915,Initiative 5,IJ768079,MED
Digital,Mail,Other,07-06-2024,Off-Site,FALSE,Initiative 3,Product 2,Product Group 3,Compound 4,Others,Portfolio Management,B38CCA14,Jorge,10b262904b044e8281,THERAPY 2,KOL,WCT-410761,20,FALSE,e99FT787687,Initiative 9,IJ822957,COMM
Digital,Mail,Proactive,11-12-2024,Clinical Program Reactive,TRUE,Initiative 8,Product 2,Product Group 2,Compound 5,KOL,FAS BTX Differentiations,B96C2E6E,Merry,6e2620b09ebf44c5b8,THERAPY 3,NON-KOL,WCT-410797,15,FALSE,e99FT247984,Initiative 6,IJ191334,COMM
Telephone,In-Person,Other,12-03-2024,Off-Site,FALSE,Initiative 7,Product 3,Product Group 1,Compound 3,KOL,Study Support,2A1E8DE1,Glen,3bccb09cb9914bbaaa,THERAPY 1,Non KOL,WCT-410789,22,TRUE,e99FT913477,Initiative 1,IJ145606,MED
Face to Face,Online,Proactive,17-01-2024,Off-Site,FALSE,Initiative 5,Product 2,Product Group 3,Compound 4,KOL,Elite Launch Support,205BE3B1,Bella,a6b0f36f0ee949bdad,THERAPY 3,Non KOL,WCT-410855,3,FALSE,e99FT608191,Initiative 3,IJ325022,COMM
Telephone,Call,Other,11-03-2025,Clinical Program Reactive,FALSE,Initiative 7,Product 1,Product Group 1,Compound 4,KOL,Portfolio Management,29B33AAC,Sanchez,65363ef2df424364bd,THERAPY 2,NON-KOL,WCT-410861,18,TRUE,e99FT797400,Initiative 6,IJ166622,COMM
